Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,204.0,210.5500030517578,203.33999633789062,207.86000061035156,207.86000061035156,9060200
2022-01-04,211.3000030517578,214.55999755859375,209.77999877929688,213.6300048828125,213.6300048828125,11414600
2022-01-05,216.63999938964844,218.92999267578125,211.80999755859375,213.07000732421875,213.07000732421875,11564700
2022-01-06,214.63999938964844,216.0,207.86000061035156,211.33999633789062,211.33999633789062,7142200
2022-01-07,212.97999572753906,218.32000732421875,212.3800048828125,215.5,215.5,9526400
2022-01-10,214.25999450683594,215.27999877929688,207.1300048828125,209.30999755859375,209.30999755859375,8229000
2022-01-11,209.0,217.02999877929688,208.41000366210938,216.02000427246094,216.02000427246094,8098400
2022-01-12,217.08999633789062,221.24000549316406,216.3000030517578,217.4499969482422,217.4499969482422,9134500
2022-01-13,222.25,226.88999938964844,220.0500030517578,223.89999389648438,223.89999389648438,17628000
2022-01-14,222.16000366210938,226.1999969482422,220.25,225.9600067138672,225.9600067138672,8053500
2022-01-18,224.5,229.6699981689453,224.25999450683594,225.00999450683594,225.00999450683594,8930700
2022-01-19,225.10000610351562,225.4199981689453,216.94000244140625,217.0800018310547,217.0800018310547,9382800
2022-01-20,217.3800048828125,221.9499969482422,213.4199981689453,214.19000244140625,214.19000244140625,7636800
2022-01-21,213.7899932861328,213.7899932861328,204.57000732421875,205.44000244140625,205.44000244140625,11548500
2022-01-24,199.85000610351562,204.8000030517578,192.50999450683594,204.1999969482422,204.1999969482422,13796500
2022-01-25,200.10000610351562,205.6300048828125,197.5500030517578,204.10000610351562,204.10000610351562,8824500
2022-01-26,206.2100067138672,206.2100067138672,191.9199981689453,194.27000427246094,194.27000427246094,19974400
2022-01-27,196.3800048828125,199.7100067138672,188.63999938964844,189.75,189.75,12670100
2022-01-28,188.77999877929688,190.72000122070312,183.77000427246094,190.57000732421875,190.57000732421875,10966700
2022-01-31,190.72999572753906,200.33999633789062,190.0,200.24000549316406,200.24000549316406,15504600
2022-02-01,202.47999572753906,208.88999938964844,200.5,208.33999633789062,208.33999633789062,12265100
2022-02-02,205.42999267578125,208.38999938964844,203.2100067138672,207.52000427246094,207.52000427246094,7843700
2022-02-03,206.05999755859375,209.10000610351562,204.25999450683594,206.38999938964844,206.38999938964844,7054700
2022-02-04,205.0,208.25,203.10000610351562,206.4499969482422,206.4499969482422,5952600
2022-02-07,205.7899932861328,214.3699951171875,205.4199981689453,211.9199981689453,211.9199981689453,11816900
2022-02-08,212.67999267578125,213.8699951171875,209.69000244140625,213.27000427246094,213.27000427246094,7356200
2022-02-09,214.91000366210938,217.0399932861328,213.3000030517578,215.86000061035156,215.86000061035156,7587700
2022-02-10,213.7100067138672,223.22999572753906,213.6999969482422,218.75,218.75,11695900
2022-02-11,217.8699951171875,221.4199981689453,210.27000427246094,212.3000030517578,212.3000030517578,11443700
2022-02-14,213.0,215.6300048828125,208.75999450683594,210.0399932861328,210.0399932861328,6481400
2022-02-15,214.83999633789062,219.5399932861328,213.69000244140625,217.72999572753906,217.72999572753906,10448500
2022-02-16,216.10000610351562,219.67999267578125,215.27999877929688,218.92999267578125,218.92999267578125,5698900
2022-02-17,218.47000122070312,218.5800018310547,212.6699981689453,213.5800018310547,213.5800018310547,6176600
2022-02-18,212.55999755859375,214.72999572753906,208.60000610351562,209.02999877929688,209.02999877929688,6973600
2022-02-22,205.0,206.89999389648438,197.82000732421875,198.74000549316406,198.74000549316406,10382100
2022-02-23,201.1300048828125,203.25,195.91000366210938,196.4199981689453,196.4199981689453,7326300
2022-02-24,189.2899932861328,198.86000061035156,186.8800048828125,198.42999267578125,198.42999267578125,12207600
2022-02-25,201.08999633789062,204.07000732421875,199.10000610351562,201.47999572753906,201.47999572753906,8730300
2022-02-28,198.5800018310547,207.30999755859375,196.75,205.33999633789062,205.33999633789062,9859300
2022-03-01,203.11000061035156,203.5,192.92999267578125,194.91000366210938,194.91000366210938,11799500
2022-03-02,196.27000427246094,199.85000610351562,194.63999938964844,197.80999755859375,197.80999755859375,7463400
2022-03-03,197.94000244140625,198.5,188.7100067138672,188.85000610351562,188.85000610351562,12424500
2022-03-04,187.3699951171875,188.32000732421875,178.97000122070312,180.83999633789062,180.83999633789062,13084000
2022-03-07,181.02999877929688,182.72000122070312,169.05999755859375,169.1699981689453,169.1699981689453,12847500
2022-03-08,169.72999572753906,180.82000732421875,167.5800018310547,173.8000030517578,173.8000030517578,13715500
2022-03-09,179.8000030517578,182.8699951171875,177.41000366210938,178.55999755859375,178.55999755859375,10062100
2022-03-10,175.75999450683594,182.02000427246094,175.38999938964844,178.38999938964844,178.38999938964844,8364100
2022-03-11,183.58999633789062,184.86000061035156,175.9499969482422,176.22999572753906,176.22999572753906,9373600
2022-03-14,175.8800048828125,178.22999572753906,172.57000732421875,175.52000427246094,175.52000427246094,8138900
2022-03-15,176.3000030517578,180.5,175.60000610351562,179.88999938964844,179.88999938964844,8051500
2022-03-16,183.38999938964844,189.60000610351562,182.3000030517578,188.99000549316406,188.99000549316406,12077500
2022-03-17,186.36000061035156,190.24000549316406,185.27000427246094,190.19000244140625,190.19000244140625,8126600
2022-03-18,192.07000732421875,193.3800048828125,190.10000610351562,192.8300018310547,192.8300018310547,12849600
2022-03-21,184.39999389648438,187.27000427246094,180.61000061035156,185.89999389648438,185.89999389648438,27369600
2022-03-22,185.24000549316406,192.86000061035156,184.52000427246094,191.0399932861328,191.0399932861328,14378500
2022-03-23,189.6699981689453,190.16000366210938,185.02999877929688,186.0399932861328,186.0399932861328,8297800
2022-03-24,186.35000610351562,189.19000244140625,184.72000122070312,189.0500030517578,189.0500030517578,7094400
2022-03-25,187.75999450683594,191.6999969482422,186.92999267578125,188.9499969482422,188.9499969482422,6365600
2022-03-28,188.42999267578125,189.25999450683594,184.47000122070312,188.16000366210938,188.16000366210938,6904100
2022-03-29,191.6199951171875,196.36000061035156,191.1999969482422,193.8000030517578,193.8000030517578,8438700
2022-03-30,192.32000732421875,197.4499969482422,191.36000061035156,194.91000366210938,194.91000366210938,9959300
2022-03-31,195.0,197.5800018310547,191.4499969482422,191.5,191.5,6447900
2022-04-01,192.5800018310547,192.6199951171875,188.77999877929688,190.75999450683594,190.75999450683594,4862100
2022-04-04,190.02000427246094,191.83999633789062,186.91000366210938,191.17999267578125,191.17999267578125,7792100
2022-04-05,189.6999969482422,192.35000610351562,182.52000427246094,182.64999389648438,182.64999389648438,9371600
2022-04-06,180.39999389648438,180.57000732421875,176.5800018310547,178.72000122070312,178.72000122070312,8173900
2022-04-07,178.1300048828125,178.66000366210938,173.8699951171875,177.97000122070312,177.97000122070312,7517800
2022-04-08,176.5399932861328,178.1300048828125,174.24000549316406,175.1999969482422,175.1999969482422,6524100
2022-04-11,173.83999633789062,179.6699981689453,173.39999389648438,175.02999877929688,175.02999877929688,6001100
2022-04-12,175.5,178.5,174.52999877929688,176.27999877929688,176.27999877929688,6125100
2022-04-13,176.9600067138672,183.4600067138672,176.9600067138672,182.8699951171875,182.8699951171875,7399900
2022-04-14,182.75,185.5399932861328,181.63999938964844,181.94000244140625,181.94000244140625,5144600
2022-04-18,181.4499969482422,182.4600067138672,178.5500030517578,179.85000610351562,179.85000610351562,5042600
2022-04-19,180.36000061035156,187.61000061035156,180.27999877929688,185.97999572753906,185.97999572753906,7485600
2022-04-20,187.24000549316406,187.33999633789062,182.86000061035156,183.5500030517578,183.5500030517578,6824300
2022-04-21,188.72999572753906,189.85000610351562,180.5500030517578,181.02000427246094,181.02000427246094,7446100
2022-04-22,180.77999877929688,182.6699981689453,176.5,176.9199981689453,176.9199981689453,6372400
2022-04-25,174.50999450683594,176.0800018310547,172.4499969482422,175.91000366210938,175.91000366210938,6293100
2022-04-26,174.75999450683594,174.8699951171875,166.85000610351562,167.0399932861328,167.0399932861328,9277300
2022-04-27,161.25,161.25,146.0,154.4600067138672,154.4600067138672,40371700
2022-04-28,156.61000061035156,156.7899932861328,149.0,154.22000122070312,154.22000122070312,13518800
2022-04-29,153.44000244140625,157.02999877929688,148.52000427246094,148.83999633789062,148.83999633789062,10880300
2022-05-02,148.02000427246094,149.4499969482422,143.3800048828125,148.61000061035156,148.61000061035156,12399200
2022-05-03,149.08999633789062,154.4499969482422,147.91000366210938,153.5800018310547,153.5800018310547,10149500
2022-05-04,152.91000366210938,157.13999938964844,150.77000427246094,156.97000122070312,156.97000122070312,9550600
2022-05-05,155.69000244140625,157.99000549316406,149.0500030517578,150.47000122070312,150.47000122070312,7950800
